Not Bound Resource Budget Analysis Report

Resource Summary: 
  MIPS capacity 0,000 MIPS : MIPS budget 0,000 MIPS
*   0 out of 6 with MIPS capacity
*   0 out of 19 with MIPS budget

  Memory capacity 4,034 GByte : Memory budget 0,000 KByte
*   12 out of 16 with Memory capacity
*   0 out of 19 with Memory budget

  RAM capacity 132,000 KByte : RAM budget 0,000 KByte
*   4 out of 16 with RAM capacity
*   0 out of 19 with RAM budget



Detailed Processor MIPS Capacity Report 

Component,Capacity
processor JOINVILLE_payload, 0,000 MIPS,
processor RUSH_payload, 0,000 MIPS,
processor FS_interface, 0,000 MIPS,
processor EPS_module.mcu_eps, 0,000 MIPS,
processor OBDH_module.mcu_obdh, 0,000 MIPS,
processor TTC_module.mcu_ttc, 0,000 MIPS,
Total, 0,000 MIPS,


Detailed MIPS Budget Report 

Component,Budget,Actual,Notes
device solar_panel_ym, 0,000 MIPS,0,000 MIPS,
device solar_panel_xp, 0,000 MIPS,0,000 MIPS,
device solar_panel_xm, 0,000 MIPS,0,000 MIPS,
device solar_panel_zp, 0,000 MIPS,0,000 MIPS,
device solar_panel_zm, 0,000 MIPS,0,000 MIPS,
device solar_panel_yp, 0,000 MIPS,0,000 MIPS,
  device EPS_module.sens_I_sp_ym,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.sens_I_sp_xp,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.sens_I_sp_xm,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.sens_I_sp_zp,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.sens_I_sp_zm,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.sens_I_sp_yp,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.sens_V_sp_1,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.sens_V_sp_2,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.sens_V_sp_3,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.mppt_1,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.mppt_2,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.mppt_3,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.temp_sensor,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.heat_driver,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.battery_monitor,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.lmc555,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.beacon_current,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.vbus_voltage,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.SP_Total_V,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.DC_OBDH_TTC,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.DC_PA_TTC,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.DC_PA_Beacon,   0,000 MIPS,  0,000 MIPS,
  device EPS_module.DC_Payloads,   0,000 MIPS,  0,000 MIPS,
    thread EPS_module.EPS_firmware.temp_control,     0,000 MIPS,    0,000 MIPS,
